Time t (min);Temperature T(c);Heat Flow Q (mW);Heat Flow (Normalized) Q (W/g);Weight (mg);Weight (%)
0;23,07;2,298;0,09;25,65;99,999
0;23,07;2,298;0,09;25,65;99,998
0;23,07;2,298;0,09;25,65;99,998
0,01;23,07;2,298;0,09;25,65;99,997
0,01;23,07;2,298;0,09;25,649;99,996
0,01;23,07;2,298;0,09;25,649;99,996
0,01;23,07;2,298;0,09;25,649;99,995
0,01;23,07;2,298;0,09;25,649;99,995
0,01;23,07;2,298;0,09;25,649;99,994
0,01;23,07;2,298;0,09;25,649;99,993
0,02;23,07;2,298;0,09;25,649;99,993
0,02;23,07;2,298;0,09;25,648;99,992
0,02;23,07;2,298;0,09;25,648;99,992
0,02;23,07;2,298;0,09;25,648;99,991
0,02;23,07;2,298;0,09;25,648;99,99
0,03;23,07;2,298;0,09;25,648;99,99
0,03;23,07;2,298;0,09;25,648;99,989
0,03;23,07;2,298;0,09;25,647;99,988
0,03;23,07;2,298;0,09;25,647;99,988
0,03;23,07;2,298;0,09;25,647;99,987
0,03;23,07;2,298;0,09;25,647;99,987
0,03;23,07;2,298;0,09;25,647;99,986
0,04;23,07;2,298;0,09;25,647;99,985
0,04;23,07;2,298;0,09;25,646;99,985
0,04;23,07;2,298;0,09;25,646;99,984
0,04;23,07;2,298;0,09;25,646;99,984
0,04;23,07;2,298;0,09;25,646;99,983
0,05;23,07;2,298;0,09;25,646;99,982
0,05;23,07;2,298;0,09;25,646;99,982
0,05;23,07;2,298;0,09;25,646;99,981
0,05;23,07;2,298;0,09;25,645;99,981
0,05;23,07;2,298;0,09;25,645;99,98
0,05;23,07;2,298;0,09;25,645;99,979
0,05;23,07;2,298;0,09;25,645;99,979
0,06;23,07;2,298;0,09;25,645;99,978
0,06;23,07;2,298;0,09;25,645;99,978
0,06;23,07;2,298;0,09;25,644;99,977
0,06;23,07;2,298;0,09;25,644;99,976
0,06;23,07;2,298;0,09;25,644;99,976
0,07;23,07;2,298;0,09;25,644;99,975
0,07;23,07;2,298;0,09;25,644;99,975
0,07;23,07;2,298;0,09;25,644;99,974
0,07;23,07;2,298;0,09;25,644;99,973
0,07;23,07;2,298;0,09;25,643;99,973
0,07;23,07;2,298;0,09;25,643;99,972
0,08;23,07;2,298;0,09;25,643;99,972
0,08;23,07;2,298;0,09;25,643;99,971
0,08;23,07;2,298;0,09;25,643;99,97
0,08;23,07;2,298;0,09;25,643;99,97
0,08;23,07;2,298;0,09;25,642;99,969
0,08;23,07;2,298;0,09;25,642;99,969
0,08;23,07;2,298;0,09;25,642;99,968
0,09;23,07;2,299;0,09;25,642;99,967
0,09;23,07;2,299;0,09;25,642;99,967
0,09;23,07;2,299;0,09;25,642;99,966
0,09;23,07;2,299;0,09;25,642;99,966
0,09;23,07;2,299;0,09;25,641;99,965
